Nom	Description	État  	Type de démarrage	Ouvrir une session en tant que
Acquisition d’image Windows (WIA)	Fournit des services d’acquisition d’images pour les scanneurs et les appareils photo.	Démarré	Automatique	Service local
Alimentation	Gère la stratégie d’alimentation et la remise de notification de stratégie d’alimentation.	Démarré	Automatique	Système local
Appel de procédure distante (RPC)	Le service RPCSS est le Gestionnaire de contrôle des services pour les serveurs COM et DCOM. Il traite les demandes d’activation d’objets, les résolutions d’exportateur d’objets et le nettoyage de la mémoire distribuée pour les serveurs COM et DCOM. Si ce service est arrêté ou désactivé, les programmes utilisant COM ou DCOM ne fonctionnent pas correctement. Il est fortement recommandé d’exécuter le service RPCSS.	Démarré	Automatique	Service réseau
Assistance IP	Fournit une connectivité de tunnel à l’aide des technologies de transition IPv6 (6to4, ISATAP, Proxy de port et Teredo) et IP-HTTPS. Si ce service est arrêté, l’ordinateur ne disposera pas des avantages de la connectivité améliorée offerts par ces technologies.	Démarré	Automatique	Système local
Assistance NetBIOS sur TCP/IP	Prend en charge le service NetBIOS sur TCP/IP (NetBT) et la résolution de noms NetBIOS pour les clients présents sur le réseau, ce qui permet aux utilisateurs de partager des fichiers, d’imprimer et d’ouvrir des sessions sur le réseau. Si ce service est arrêté, ces fonctions risquent de ne pas être disponibles. Si ce service est désactivé, les services qui en dépendent explicitement ne pourront pas démarrer.	Démarré	Automatique	Service local
Audio Windows	Gère les périphériques audio pour les programmes compatibles Windows. Si ce service est arrêté, les périphériques et les effets audio ne fonctionneront pas correctement. S’il est désactivé, les services qui en dépendent explicitement ne démarreront pas	Démarré	Automatique	Service local
Client de stratégie de groupe	Le service est responsable de l’application des paramètres configurés par les administrateurs pour l’ordinateur et pour les utilisateurs via le composant de stratégie de groupe. Si le service est arrêté ou désactivé, les paramètres ne seront pas appliqués et les applications et les composants ne seront pas gérables par la stratégie de groupe. Tout composant ou application qui dépend du composant de stratégie de groupe pourra ne pas fonctionner si le service est arrêté ou désactivé.	Démarré	Automatique	Système local
Client de suivi de lien distribué	Conserve les liens entre des fichiers NTFS au sein d’un ordinateur ou d’un ensemble d’ordinateurs en réseau.	Démarré	Automatique	Système local
Client DHCP	Inscrit et met à jour les adresses IP et les enregistrements DNS pour cet ordinateur. Si ce service est arrêté, cet ordinateur ne recevra pas d’adresses IP et de mises à jour DNS dynamiques. Si ce service est désactivé, tous les services qui en dépendent explicitement ne pourront pas démarrer.	Démarré	Automatique	Service local
Client DNS	Le service client DNS (dnscache) met en cache les noms DNS (Domain Name System) et inscrit le nom complet de cet ordinateur. Si le service est arrêté, les noms DNS continuent d’être résolus. Toutefois, les résultats des requêtes de noms DNS ne sont pas mis en cache et le nom de l’ordinateur n’est pas inscrit. Si le service est désactivé, les services qui en dépendent explicitement ne peuvent pas démarrer.	Démarré	Automatique	Service réseau
